"","Country","Change","Band"
"1","Afghanistan","618.698742482231","500 - 1000"
"2","Algeria","842.562527424309","500 - 1000"
"3","Angola","1479.6812749004","1000 - 10000"
"4","Argentina","247.296505953543","100 - 500"
"5","Azerbaijan","12518.8976377953","> 10000"
"6","Bahamas","3950","1000 - 10000"
"7","Bahrain","44.1379310344828","0 - 100"
"8","Bangladesh","524.529447480267","500 - 1000"
"9","Barbados","464.406779661017","100 - 500"
"10","Belize","2904.7619047619","1000 - 10000"
"11","Benin","1918.51851851852","1000 - 10000"
"12","Bhutan","11007.6923076923","> 10000"
"13","Bolivia","149.150849150849","100 - 500"
"14","Botswana","220.454545454545","100 - 500"
"15","Brazil","766.31874298541","500 - 1000"
"16","Burkina Faso","415.525114155251","100 - 500"
"17","Burundi","1055.55555555556","1000 - 10000"
"18","Cambodia","940.142095914742","500 - 1000"
"19","Cameroon","2286.84210526316","1000 - 10000"
"20","Cape Verde","1401.85185185185","1000 - 10000"
"21","Chad","1556.66666666667","1000 - 10000"
"22","Chile","167.227597812369","100 - 500"
"23","China","221.774925343584","100 - 500"
"24","Colombia","123.480407281703","100 - 500"
"25","Comoros","399100","> 10000"
"26","Costa Rica","1350.90909090909","1000 - 10000"
"27","Cuba","500.428432327166","500 - 1000"
"28","Djibouti","551.908396946565","500 - 1000"
"29","Dominica","252.795031055901","100 - 500"
"30","Ecuador","-71.7138454393853","< 0"
"31","Egypt","817.493112947658","500 - 1000"
"32","El Salvador","3019.21397379913","1000 - 10000"
"33","Equatorial Guinea","-19.2446043165468","< 0"
"34","Eritrea","2171.70138888889","1000 - 10000"
"35","Ethiopia","181.536989795918","100 - 500"
"36","Fiji","-7.08154506437768","< 0"
"37","Gabon","3496","1000 - 10000"
"38","Gambia","469.550173010381","100 - 500"
"39","Ghana","263.984674329502","100 - 500"
"40","Grenada","72.3981900452489","0 - 100"
"41","Guatemala","2277.57731958763","1000 - 10000"
"42","Guinea","1200.85959885387","1000 - 10000"
"43","Guinea-Bissau","2156.81818181818","1000 - 10000"
"44","Guyana","324.435590969456","100 - 500"
"45","Haiti","1112.96891747053","1000 - 10000"
"46","Honduras","6450","1000 - 10000"
"47","India","520.788349336151","500 - 1000"
"48","Indonesia","120.594965675057","100 - 500"
"49","Iraq","761.572257963283","500 - 1000"
"50","Jamaica","931.384159881569","500 - 1000"
"51","Jordan","941.540256709452","500 - 1000"
"52","Kazakhstan","1322.77825711821","1000 - 10000"
"53","Kenya","653.069577080491","500 - 1000"
"54","Kiribati","1590","1000 - 10000"
"55","Kuwait","100.512820512821","100 - 500"
"56","Kyrgyzstan","3670.26022304833","1000 - 10000"
"57","Lebanon","129.034719572682","100 - 500"
"58","Lesotho","342.857142857143","100 - 500"
"59","Liberia","1809.34579439252","1000 - 10000"
"60","Libya","2130.82437275986","1000 - 10000"
"61","Madagascar","2422.22222222222","1000 - 10000"
"62","Malawi","745.454545454545","500 - 1000"
"63","Malaysia","185.207939508507","100 - 500"
"64","Maldives","720","500 - 1000"
"65","Mali","2231.03448275862","1000 - 10000"
"66","Mauritania","272.489082969432","100 - 500"
"67","Mauritius","362.35632183908","100 - 500"
"68","Mexico","4233.02222222222","1000 - 10000"
"69","Mongolia","225.694156651471","100 - 500"
"70","Morocco","210.287389508284","100 - 500"
"71","Mozambique","1402.77777777778","1000 - 10000"
"72","Myanmar","1135.40540540541","1000 - 10000"
"73","Namibia","485.714285714286","100 - 500"
"74","Nepal","3140.82125603865","1000 - 10000"
"75","Nicaragua","6639.71291866029","1000 - 10000"
"76","Niger","441.791044776119","100 - 500"
"77","Nigeria","488.651659317707","100 - 500"
"78","Oman","63.3587786259542","0 - 100"
"79","Pakistan","218.918918918919","100 - 500"
"80","Palau","450","100 - 500"
"81","Panama","732.5","500 - 1000"
"82","Papua New Guinea","189.130434782609","100 - 500"
"83","Paraguay","4062.17616580311","1000 - 10000"
"84","Peru","250.688924218336","100 - 500"
"85","Philippines","258.673824435829","100 - 500"
"86","Qatar","290.839694656489","100 - 500"
"87","Rwanda","386.505190311419","100 - 500"
"88","Samoa","23.7458193979933","0 - 100"
"89","Saudi Arabia","181.302521008403","100 - 500"
"90","Senegal","549.536178107607","500 - 1000"
"91","Seychelles","-60.7142857142857","< 0"
"92","Sierra Leone","207.022471910112","100 - 500"
"93","Solomon Islands","81.3953488372093","0 - 100"
"94","Somalia","421.520912547528","100 - 500"
"95","South Africa","109.448818897638","100 - 500"
"96","Sri Lanka","14.89252814739","0 - 100"
"97","Sudan","569.064748201439","500 - 1000"
"98","Suriname","12508.3333333333","> 10000"
"99","Tajikistan","2488.50574712644","1000 - 10000"
"100","Thailand","710.13425016372","500 - 1000"
"101","Timor-Leste","1666.66666666667","1000 - 10000"
"102","Togo","3601.85185185185","1000 - 10000"
"103","Tonga","64.8915187376726","0 - 100"
"104","Tunisia","454.269752593775","100 - 500"
"105","Turkmenistan","128668.181818182","> 10000"
"106","Tuvalu","135.135135135135","100 - 500"
"107","Uganda","1374.65753424658","1000 - 10000"
"108","United Arab Emirates","-41.0396716826265","< 0"
"109","Uruguay","256.404230317274","100 - 500"
"110","Uzbekistan","1673.33743842365","1000 - 10000"
"111","Venezuela","1781.93688792165","1000 - 10000"
"112","Yemen","27359.0909090909","> 10000"
"113","Zambia","546.666666666667","500 - 1000"
"114","Zimbabwe","517.924528301887","500 - 1000"
