"","Country","Year","Total"
"1","Australia",2000,22288
"2","Australia",2001,24716
"3","Australia",2002,28355
"4","Australia",2003,31250
"5","Australia",2004,36868
"6","Australia",2005,40204
"7","Australia",2006,44437
"8","Australia",2007,49572
"9","Australia",2008,52048
"10","Australia",2009,60772
"11","Australia",2010,61210
"12","Australia",2011,60993
"13","Australia",2012,63934
"14","Australia",2013,70515
"15","Australia",2014,72374
"16","Australia",2015,70200
"17","Australia",2016,71904
"18","Australia",2017,76126
"19","Australia",2018,64405
"20","Australia",2019,56745
"21","Australia",2020,47774
"22","Australia",2021,53528
"23","Austria",2000,3579
"24","Austria",2001,3482
"25","Austria",2002,5312
"26","Austria",2003,5509
"27","Austria",2004,5601
"28","Austria",2005,5246
"29","Austria",2006,4075
"30","Austria",2007,4484
"31","Austria",2008,4578
"32","Austria",2009,4693
"33","Austria",2010,4262
"34","Austria",2011,5056
"35","Austria",2012,5290
"36","Austria",2013,5616
"37","Austria",2014,6311
"38","Austria",2015,14404
"39","Austria",2016,10380
"40","Austria",2017,6756
"41","Austria",2018,6194
"42","Austria",2019,6700
"43","Austria",2020,4831
"44","Austria",2021,6598
"45","Belgium",2008,12905
"46","Belgium",2009,14018
"47","Belgium",2010,15409
"48","Belgium",2011,17842
"49","Belgium",2012,13725
"50","Belgium",2013,12244
"51","Belgium",2014,11854
"52","Belgium",2015,15744
"53","Belgium",2016,13465
"54","Belgium",2017,13981
"55","Belgium",2018,15997
"56","Belgium",2019,18349
"57","Belgium",2020,13154
"58","Belgium",2021,16837
"59","Canada",2000,73984
"60","Canada",2001,84706
"61","Canada",2002,77586
"62","Canada",2003,78249
"63","Canada",2004,82812
"64","Canada",2005,95111
"65","Canada",2006,89376
"66","Canada",2007,83017
"67","Canada",2008,87661
"68","Canada",2009,91241
"69","Canada",2010,105630
"70","Canada",2011,94703
"71","Canada",2012,97568
"72","Canada",2013,97781
"73","Canada",2014,97365
"74","Canada",2015,98022
"75","Canada",2016,97935
"76","Canada",2017,105180
"77","Canada",2018,118690
"78","Canada",2019,128185
"79","Chile",2005,19435
"80","Chile",2006,17314
"81","Chile",2007,24898
"82","Chile",2008,19533
"83","Chile",2009,15979
"84","Chile",2010,17195
"85","Chile",2011,21403
"86","Chile",2012,26746
"87","Chile",2013,36622
"88","Chile",2014,36484
"89","Chile",2015,45192
"90","Chile",2016,59898
"91","Chile",2017,1378
"92","Chile",2018,933
"93","Chile",2019,884
"94","Czechia",2003,1074
"95","Czechia",2004,1130
"96","Czechia",2005,1694
"97","Czechia",2006,2454
"98","Czechia",2007,4021
"99","Czechia",2008,3594
"100","Czechia",2009,1926
"101","Czechia",2010,1667
"102","Czechia",2011,1210
"103","Czechia",2012,1544
"104","Czechia",2013,1426
"105","Czechia",2014,2123
"106","Czechia",2015,2006
"107","Czechia",2016,2330
"108","Czechia",2017,2829
"109","Czechia",2018,3608
"110","Czechia",2019,3697
"111","Czechia",2020,2543
"112","Czechia",2021,3074
"113","Denmark",2007,4323
"114","Denmark",2008,4897
"115","Denmark",2009,5007
"116","Denmark",2010,5154
"117","Denmark",2011,4691
"118","Denmark",2012,4403
"119","Denmark",2013,5680
"120","Denmark",2014,5646
"121","Denmark",2015,5982
"122","Denmark",2016,5756
"123","Denmark",2017,6190
"124","Denmark",2018,5739
"125","Denmark",2019,5284
"126","Denmark",2020,3946
"127","Denmark",2021,4442
"128","Estonia",2004,5
"129","Estonia",2005,11
"130","Estonia",2006,37
"131","Estonia",2007,27
"132","Estonia",2008,42
"133","Estonia",2009,44
"134","Estonia",2010,31
