"","Country","Change","Band"
"1","Australia","-6.62640689791351","< 0"
"2","Austria","42.7658214361815","0 - 100"
"3","Belgium","30.8959908688829","0 - 100"
"4","Canada","40.4905689328262","0 - 100"
"5","Chile","-94.4677389073158","< 0"
"6","Czechia","91.9522326064382","0 - 100"
"7","Denmark","5.53225484321949","0 - 100"
"8","Estonia","1422.72727272727","> 1000"
"9","Finland","55.7922769640479","0 - 100"
"10","France","23.0874093462021","0 - 100"
"11","Germany","113.478323669604","100 - 500"
"12","Hungary","208.227848101266","100 - 500"
"13","Iceland","197.395833333333","100 - 500"
"14","Israel","17.5088131609871","0 - 100"
"15","Italy","-15.5533627754179","< 0"
"16","Korea","86.2947830313859","0 - 100"
"17","Latvia","267.032967032967","100 - 500"
"18","Luxembourg","57.9503105590062","0 - 100"
"19","Mexico","837.034482758621","500 - 1000"
"20","Netherlands","115.802984116798","100 - 500"
"21","New Zealand","85.6899147014551","0 - 100"
"22","Norway","-20.5264988982953","< 0"
"23","Poland","69.9692994697181","0 - 100"
"24","Portugal","101.992744098007","100 - 500"
"25","Slovak Republic","-78.6516853932584","< 0"
"26","Slovenia","-4.33212996389892","< 0"
"27","Spain","117.764698139286","100 - 500"
"28","Sweden","5.59682244919014","0 - 100"
"29","Switzerland","5.14516406115788","0 - 100"
"30","Turkey","2785.2784503632","> 1000"
"31","United States of America","-8.45454977665988","< 0"
